step,lr,loss
1,0.001,10.402223587036133
34,0.001,9.60532283782959
68,0.001,8.616806030273438
102,0.001,7.609612464904785
136,0.001,6.809179306030273
170,0.001,6.272475242614746
204,0.001,5.983983516693115
238,0.001,5.710743427276611
272,0.001,5.557552814483643
306,0.001,5.383618354797363
340,0.001,5.281728744506836
374,0.001,5.158637046813965
408,0.001,4.990746021270752
442,0.001,4.9545745849609375
476,0.001,4.810460567474365
510,0.001,4.799525737762451
544,0.001,4.67733097076416
577,0.001,4.574136734008789
611,0.001,4.598484992980957
645,0.001,4.5735039710998535
679,0.001,4.519925594329834
713,0.001,4.448525905609131
747,0.001,4.390830039978027
781,0.001,4.293645858764648
815,0.001,4.215700626373291
849,0.001,4.159276962280273
883,0.001,4.059785842895508
917,0.001,3.940074920654297
951,0.001,3.90836501121521
985,0.001,3.853084087371826
1019,0.001,3.791905403137207
1053,0.001,3.8684887886047363
1087,0.001,3.7796030044555664
1120,0.001,3.6953554153442383
1154,0.001,3.833048105239868
1188,0.001,3.64196515083313
1222,0.001,3.6108644008636475
1256,0.001,3.748325824737549
1290,0.001,3.6573100090026855
1324,0.001,3.5829789638519287
1358,0.001,3.5046324729919434
1392,0.001,3.6440489292144775
1426,0.001,3.5756943225860596
1460,0.001,3.499182939529419
1494,0.001,3.5121634006500244
1528,0.001,3.5672600269317627
1562,0.001,3.5469725131988525
1596,0.001,3.438580274581909
1630,0.001,3.475327730178833
1664,0.001,3.4075729846954346
1697,0.001,3.3909695148468018
1731,0.001,3.438070774078369
1765,0.001,3.3731625080108643
1799,0.001,3.4494833946228027
1833,0.001,3.3500428199768066
1867,0.001,3.402695417404175
1901,0.001,3.3652563095092773
1935,0.001,3.333571195602417
1969,0.001,3.3687245845794678
2003,0.001,3.4312968254089355
2037,0.001,3.373028039932251
2071,0.001,3.264970064163208
2105,0.001,3.3600621223449707
2139,0.001,3.205125093460083
2173,0.001,3.272178888320923
2207,0.001,3.2579572200775146
2240,0.001,3.1814982891082764
2274,0.001,3.256155490875244
2308,0.001,3.2577507495880127
2342,0.001,3.2502388954162598
2376,0.001,3.190629243850708
2410,0.001,3.2821643352508545
2444,0.001,3.1929800510406494
2478,0.001,3.2157795429229736
2512,0.001,3.2779414653778076
2546,0.001,3.2766549587249756
2580,0.001,3.249631404876709
2614,0.001,3.184389114379883
2648,0.001,3.1545097827911377
2682,0.001,3.2006945610046387
2716,0.001,3.1412642002105713
2750,0.001,3.253042459487915
2783,0.001,3.165822744369507
2817,0.001,3.192847490310669
2851,0.001,3.1357245445251465
2885,0.001,3.146397829055786
2919,0.001,3.109509229660034
2953,0.001,3.1446969509124756
2987,0.001,3.1348721981048584
3021,0.001,3.191054105758667
3055,0.001,3.219930410385132
3089,0.001,3.154303789138794
3123,0.001,3.0981295108795166
3157,0.001,3.1539268493652344
3191,0.001,3.103344202041626
3225,0.001,3.0582950115203857
3259,0.001,3.117981195449829
3293,0.001,3.1388676166534424
3327,0.001,3.2029879093170166
3360,0.001,3.1087486743927
3394,0.001,3.16086745262146
3428,0.001,3.0819711685180664
3462,0.001,3.056291341781616
3496,0.001,3.1033196449279785
3530,0.001,3.0896008014678955
3564,0.001,3.079366683959961
3598,0.001,3.0654385089874268
3632,0.001,3.123971939086914
3666,0.001,3.0229339599609375
3700,0.001,3.0369601249694824
3734,0.001,3.0713555812835693
3768,0.001,3.0522708892822266
3802,0.001,3.071857452392578
3836,0.001,3.0575356483459473
3870,0.001,3.0822432041168213
3903,0.001,3.0633316040039062
3937,0.001,3.0056066513061523
3971,0.001,3.045799493789673
4005,0.001,2.9676122665405273
4039,0.001,3.080188751220703
4073,0.001,3.0443778038024902
4107,0.001,3.0861194133758545
4141,0.001,3.0470962524414062
4175,0.001,3.013037919998169
4209,0.001,3.0479724407196045
